  380,   -4.40894
  385,   -4.19382
  390,   -3.92082
  395,   -3.66354
  400,   -3.40230
  405,   -3.19382
  410,   -2.91721
  415,   -2.66154
  420,   -2.39794
  425,   -2.13668
  430,   -1.93554
  435,   -1.77366
  440,   -1.63827
  445,   -1.52578
  450,   -1.42022
  455,   -1.31876
  460,   -1.22185
  465,   -1.13136
  470,   -1.04105
  475,   -0.94846
  480,   -0.85692
  485,   -0.77134
  490,   -0.68189
  495,   -0.58737
  500,   -0.49080
  505,   -0.39009
  510,   -0.29843
  515,   -0.21595
  520,   -0.14874
  525,   -0.10062
  530,   -0.06449
  535,   -0.03865
  540,   -0.02045
  545,   -0.00864
  550,   -0.00220
  555,    0.00000
  560,   -0.00218
  565,   -0.00939
  570,   -0.02136
  575,   -0.03839
  580,   -0.06048
  585,   -0.08815
  590,   -0.12090
  595,   -0.15808
  600,   -0.19997
  605,   -0.24657
  610,   -0.29843
  615,   -0.35536
  620,   -0.41908
  625,   -0.49349
  630,   -0.57675
  635,   -0.66354
  640,   -0.75696
  645,   -0.85949
  650,   -0.97062
  655,   -1.08831
  660,   -1.21467
  665,   -1.35086
  670,   -1.49485
  675,   -1.63451
  680,   -1.76955
  685,   -1.92372
  690,   -2.08566
  695,   -2.24238
  700,   -2.38700
  705,   -2.53328
  710,   -2.67965
  715,   -2.82857
  720,   -2.98005
  725,   -3.13077
  730,   -3.28400
